id,Word,Part of Speech,Level,Topic_raw
500000427,audience,020000003,021000002,Culture
500000428,audio,020000001,021000002,Communication
500000429,audit,020000003,021000004,People; Work and business
500000430,audition,020000003,021000004,Culture
500000431,August,020000003,021000001,Time and space
500000432,aunt,020000003,021000001,People
500000433,author,020000003,021000002,Culture
500000434,authoritative,020000001,021000004,Politics and society
500000435,authority,020000003,021000003,Politics and society
500000436,authorize/authorise,020000004,021000004,Notions
500000437,automatic,020000001,021000002,Work and business
500000438,automatically,020000002,021000002,Functions
500000439,autumn,020000003,021000001,Time and space
500000440,auxiliary,020000001,021000003,Notions
500000441,availability,020000003,021000004,Work and business
500000442,available,020000001,021000003,Work and business
500000443,avenue,020000003,021000003,Functions; Homes and buildings; Travel
500000444,average,020000001,021000002,Science and technology
500000445,average,020000003,021000002,Science and technology
500000446,avoid,020000004,021000002,Time and space
500000447,await,020000004,021000004,Notions
500000448,awake,020000001,021000001,Time and space
500000449,award,020000003,021000002,Functions; People
500000450,award,020000004,021000003,Functions
500000451,aware,020000001,021000003,Notions
500000452,awareness,020000003,021000003,Time and space
500000453,away,020000002,021000001,Sport
500000454,awe,020000003,021000004,Notions
500000455,awesome,020000001,021000003,Leisure
500000456,awful,020000001,021000002,The natural world
500000457,awkward,020000001,021000003,Appearance; People
500000458,ax/axe,020000003,021000004,Homes and buildings
500000459,axis,020000003,021000004,Appearance; Politics and society; Science and technology; Time and space
500000460,baby,020000003,021000001,People
500000461,babysit,020000004,021000003,People
500000462,babysitter,020000003,021000003,People
500000463,back,020000001,021000002,Appearance; Sport
500000464,back,020000002,021000001,Appearance; Sport
500000465,back,020000003,021000001,Appearance
500000466,back,020000004,021000003,Sport
500000467,backache,020000003,021000003,Health
500000468,background,020000003,021000002,Culture; People; Politics and society
500000469,backpack,020000003,021000003,Travel
500000470,backpacker,020000003,021000003,Leisure; Travel
500000471,backpacking,020000003,021000003,Leisure; Travel
500000472,backup,020000003,021000004,Politics and society; Science and technology
500000473,backward/backwards,020000002,021000004,Culture
500000474,backyard,020000003,021000004,Homes and buildings
500000475,bacon,020000003,021000003,Food and drink
500000476,bad,020000001,021000001,Health; People; The natural world
500000477,badge,020000003,021000004,Appearance
500000478,badly,020000002,021000002,Functions; Notions
500000479,badminton,020000003,021000002,Sport
